Date,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
2008/7/21,-1.36,0.340004,-4.73999,-34.429932,-37.11914,-23.340332,13.620118,135.299804,-92.689453,0,126.510002
2008/7/22,2.739997,-1.36,21.790039,48.790039,145.489257,103,90.989746,11.399903,470.179687,315.090821,125.150002
2008/7/23,0.449997,2.739997,4.349976,24.099854,26.950196,45.050293,60.120117,71.700195,430.121094,151.629882,127.889999
2008/7/24,-2.449997,0.449997,-29.709961,-34.52002,-289.200196,-131.600097,-134.459961,35,-579.380859,41.089844,128.339996
2008/7/25,-0.379997,-2.449997,4.25,12.5,28.330079,64.22998,16.649902,-170,50.339843,-45.009765,125.889999
2008/7/28,-1.529999,-0.379997,-21.380005,-32.579834,-236.029297,-86.569824,-125.47998,-39.399902,-535.919921,-187.030274,125.510002
2008/7/29,3.129998,-1.529999,28.140015,54.399903,264.11914,103.869629,103.149902,-38.200196,371.40039,47.040039,123.980003
2008/7/30,0.290001,3.129998,16.849975,-17.679932,180.430664,30.990234,61.830078,85.5,241.429688,143.030274,127.110001
2008/7/31,-0.279999,0.290001,-11.949951,15.5,-198.100586,-70.780273,-6.850097,19,-380.859375,-133.830078,127.400002
2008/8/1,-1.080002,-0.279999,-16.150024,-17.080078,-53.569335,-38.159668,-57.709961,-86.799804,132.689453,-193.29004,127.120003
2008/8/4,-0.020004,-1.080002,1.599975,-1.610107,-40.300782,-5.410157,-46.899903,-35.600098,-405.529297,-126.270507,126.040001
2008/8/5,2.000007,-0.020004,29.119995,41.030029,317.620117,122.5,175.149903,-19.700195,0,102.419922,126.019997
2008/8/6,-0.060005,2.000007,2.52002,13.620117,51.780274,10.689942,11.410156,120.600097,0,198.560546,128.020004
2008/8/7,-1.379997,-0.060005,-20.219971,-5.949951,-223.330078,-2.620117,-5.419922,-8.699707,-405.619141,-231.459961,127.959999
2008/8/8,2.889999,-1.379997,28.130005,50.709961,297.580078,68.290039,32.979981,26.899903,22.898438,232.929688,126.580002
2008/8/11,0.809998,2.889999,10.369995,26.709961,52.030273,21.070312,31.180175,20.799804,-28.359375,138.530273,129.470001
2008/8/12,-1.490006,0.809998,-16.150024,-9.939942,-148.890625,-29.090332,-38.72998,8.300293,-721.320313,-192.350586,130.279999
2008/8/13,-0.949997,-1.490006,-6.53003,-9.910156,-100.739257,-52.799805,-112.240235,-58.700195,31.839844,-263.029296,128.789993
2008/8/14,2.089997,-0.949997,11.739991,48.690186,79.139648,6.339844,9.490235,17.600098,81.011719,49.299804,127.839996
2008/8/15,0.5,2.089997,4.290039,-6.140137,48.44043,-9.909668,-24.080078,4.199707,-220.701172,-20.419922,129.929993
2008/8/18,-3.009995,0.5,-21.489991,-52.01001,-181.560547,-32.930176,-37.310059,-11.59961,-487.259766,45.009766,130.429993
2008/8/19,-0.029999,-3.009995,-9.310058,-8.369873,-132.149414,-47.430175,-101,-84,-286.960937,-262.519531,127.419998
2008/8/20,-0.639999,-0.029999,3.72998,-25.040039,69.290039,-19.5,-7.510254,69.09961,373.861328,131.359375,127.389999
2008/8/21,1.919998,-0.639999,6.52002,18.800049,11.55957,-13.409668,-46.790039,-44.799805,0,-157.969727,126.75
2008/8/22,0.130005,1.919998,12.880005,9.389892,199.400391,60.600097,89.410156,54.700195,0,70.169922,128.669998
2008/8/25,-1.780006,0.130005,-23.439942,-35.419921,-242.63086,-52.620117,-45.129882,70.5,109.599609,-86.509766,128.800003
2008/8/26,0.530006,-1.780006,4.26001,-1.449952,28.900391,40.529785,48.540039,-3.200195,255.480469,23.359375,127.019997
2008/8/27,1.729996,0.530006,12.5,27.25,87.410156,-1.319824,-22.439942,10.399902,442.378906,93.330079,127.550003
2008/8/28,0.449997,1.729996,12.699951,-1.440185,213.360352,104.189942,113.949707,53.600098,-257.240234,97.730468,129.279999
2008/8/29,0.300003,0.449997,-8.660034,13.440185,-167.600586,-8.680176,-11.009765,31.200195,-332.759766,-145.560547,129.729996
2008/9/2,-2.150002,0.300003,-11.219971,-55.300048,-39.620117,36.689941,71.270019,1.799805,7.810547,-76.529296,130.029999
2008/9/3,-0.909996,-2.150002,-4.809936,-31.630127,26.470703,-57.55957,-10.919922,-61.100098,-419.369141,-75.720704,127.879997
2008/9/4,-3.68,-0.909996,-38.590088,-73.559815,-346.850586,-172.970215,-229.560058,-100.799804,-711.511718,-241.989257,126.970001
2008/9/5,4.749992,-3.68,16.290039,54.559815,39.240234,84.02002,14.699707,-71.899903,1006.820312,-25.720703,123.290001
2008/9/8,-0.939995,4.749992,18.47998,-26.25,289.860352,-20.5,-4.080078,161.799805,-401.21875,170.030273,128.039993
2008/9/9,-3.209999,-0.939995,-40.47998,-37.719971,-280.820313,-37.930176,-32.959961,-115,-324.611328,-280.820313,127.099998
2008/9/10,-1.769996,-3.209999,1.540039,-33.179932,30.530274,-21.919922,-32.689942,-26.5,-260.039062,-11.620117,123.889999
2008/9/11,2.169998,-1.769996,16.839966,40.219971,164.879883,40.25,14.360352,-81.299805,-422.09961,19.260742,122.120003
2008/9/12,-2.660004,2.169998,5.040039,-36.969971,-12.950196,-130.899902,-68.550293,68,0,0,124.290001
2008/9/15,-4.43,-2.660004,-62.609985,-52.630127,-510.75,-86.04004,-120.949707,-118.200195,0,0,121.629997
2008/9/16,2.440002,-4.43,22.029907,27.930176,150.959961,60.990235,-39.790039,-31.200195,365.65039,-290.830078,117.199997
2008/9/17,-1.589996,2.440002,-53.26001,-40.160156,-447.570312,-178.010254,-102.630371,-85.699707,-1571.070312,-160.679687,119.639999
2008/9/18,8.649994,-1.589996,56.030029,166.47998,418.5,245.020019,111.890136,-43,1758.029297,54.659179,118.050003
2008/9/19,-2.25,8.649994,42.26001,-38.129882,366.910156,104.689942,201.640137,266,990.759765,406.290039,126.699997
2008/9/22,-3.599999,-2.25,-47.76001,-75.060059,-378.729492,-133.949707,-96.72998,76.199707,-690.529297,0,124.449997
